Status,PO #,Ship Date,Item,Description,Notes,Date Sent from SF,Diamond ETA,Insurance Value,Drop Ship?,Actual Ship Date,Date Created,SO#,Tracking #,Quantity,Upload?,Portal URL
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",411595,"Sep. 11, 2019",,,,,"Sep. 05, 2019",,Yes,"Sep. 11, 2019","Aug. 28, 2019 10:00:42",Sales Order #2019469706,,,No,https://partner.brilliantearth.com/production/record-153503/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",411595,"Sep. 11, 2019",BE1D225 : BE1D225-14KR-N-S7,"14K Rose Gold Selene Diamond Ring, Size 7","Set with: 3425061A	 Description: 0.71 Carat, Marquise, Ideal Cut, E Color, SI1 Clarity, 8.61 x 4.83 x 2.91mm, Conflict Free Botswana Sort Diamond	  Cert: 6335464318  Arriving from SF on 9/6/2019  Stone insurance value: 1752.00","Sep. 04, 2019","Sep. 05, 2019",2544.00,Yes,"Sep. 11, 2019","Aug. 28, 2019 10:00:42",Sales Order #2019469706,,1,No,https://partner.brilliantearth.com/production/record-153503/
"Ready to Invoice,Shipped",411616,"Sep. 06, 2019",,,,,"Sep. 03, 2019",,No,"Sep. 05, 2019","Aug. 28, 2019 10:32:43",Sales Order #2019469574,776167851845,,No,https://partner.brilliantearth.com/production/record-153528/
"Ready to Invoice,Shipped",411616,"Sep. 06, 2019",BE164LC : BE164LC-18KW-N-S55,"18K White Gold Luxe Ballad Lab Diamond Ring, Size 5.5","Set with: 3424233B	 Description: 1.41 Carat, Round, Super Ideal Cut, D Color, VVS2 Clarity, 7.18 x 7.11 x 4.44mm, Conflict Free Lab Created Diamond	  cert: 375962716  Arriving from SF on 8/30/2019  Stone insurance value: 5048.00","Aug. 29, 2019","Sep. 03, 2019",6080.00,No,"Sep. 05, 2019","Aug. 28, 2019 10:32:43",Sales Order #2019469574,776167851845,1,No,https://partner.brilliantearth.com/production/record-153528/
"Ready to Invoice,Shipped",411655,"Sep. 24, 2019",,,,,,,No,"Sep. 24, 2019","Aug. 28, 2019 11:25:55",,,,No,https://partner.brilliantearth.com/production/record-154828/
"Ready to Invoice,Shipped",411655,"Sep. 24, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,"Sep. 24, 2019","Aug. 28, 2019 11:25:55",,,1,No,https://partner.brilliantearth.com/production/record-154828/
"Ready to Invoice,Shipped",411655,"Sep. 24, 2019",Transfer,,BE Sample being sent for replication,"Aug. 30, 2019",,1000.00,No,"Sep. 24, 2019","Aug. 28, 2019 11:25:55",,,1,No,https://partner.brilliantearth.com/production/record-154828/
"Ready to Invoice,Shipped",411655,"Sep. 24, 2019",BE1D4018 : BE1D4018-18KW-N-S6,"18K White Gold Faye Diamond Ring, Size 6",Initial sample for approval	   Please set with 7.0mm RD CZ,,,1000.00,No,"Sep. 24, 2019","Aug. 28, 2019 11:25:55",,,1,No,https://partner.brilliantearth.com/production/record-154828/
"Ready to Invoice,Shipped",411655,"Sep. 24, 2019",Mold,,,,,,No,"Sep. 24, 2019","Aug. 28, 2019 11:25:55",,,1,No,https://partner.brilliantearth.com/production/record-154828/
"Ready to Invoice,Shipped",411655,"Sep. 24, 2019",Transfer,,7.0mm RD CZ arriving from SF,"Sep. 17, 2019",,50.00,No,"Sep. 24, 2019","Aug. 28, 2019 11:25:55",,,1,No,https://partner.brilliantearth.com/production/record-154828/
"Ready to Invoice,Shipped",411672,"Sep. 17, 2019",,,,,,,No,"Sep. 17, 2019","Aug. 28, 2019 12:17:37",,,,No,https://partner.brilliantearth.com/production/record-154182/
"Ready to Invoice,Shipped",411672,"Sep. 17, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,"Sep. 17, 2019","Aug. 28, 2019 12:17:37",,,1,No,https://partner.brilliantearth.com/production/record-154182/
"Ready to Invoice,Shipped",411672,"Sep. 17, 2019",Transfer,,BE sample being sent for replication,"Aug. 30, 2019",,236.00,No,"Sep. 17, 2019","Aug. 28, 2019 12:17:37",,,1,No,https://partner.brilliantearth.com/production/record-154182/
"Ready to Invoice,Shipped",411672,"Sep. 17, 2019",BE299 : BE299-18KW-S6,"18K White Gold Petite Comfort Fit Wedding Ring, Size 6",Initial sample for approval,,,236.00,No,"Sep. 17, 2019","Aug. 28, 2019 12:17:37",,,1,No,https://partner.brilliantearth.com/production/record-154182/
"Ready to Invoice,Shipped",411672,"Sep. 17, 2019",Mold,,,,,,No,"Sep. 17, 2019","Aug. 28, 2019 12:17:37",,,1,No,https://partner.brilliantearth.com/production/record-154182/
"Ready to Invoice,Shipped",411767,"Sep. 05, 2019",,,,,,,No,"Sep. 05, 2019","Aug. 28, 2019 17:58:40",Sales Order #2019464268EX,,,No,https://partner.brilliantearth.com/production/record-153605/
"Ready to Invoice,Shipped",411767,"Sep. 05, 2019",BE2PD25R25 : BE2PD25R25-PT-S7,"Platinum Petite Shared Prong Diamond Ring (1/4 ct. tw.), Size 7",,,,1032.00,No,"Sep. 05, 2019","Aug. 28, 2019 17:58:40",Sales Order #2019464268EX,,1,No,https://partner.brilliantearth.com/production/record-153605/
"None,Shipped",411790,"Sep. 05, 2019",,,,,,,No,"Sep. 05, 2019","Aug. 28, 2019 18:44:58",Sales Order #2019462451EX,,,No,https://partner.brilliantearth.com/production/record-153613/
"None,Shipped",411790,"Sep. 05, 2019",BE264 : BE264-18KW-S875,"18K White Gold Luxe Ballad Diamond Ring (1/4 ct. wt.), Size 8.75",,,,792.00,No,"Sep. 05, 2019","Aug. 28, 2019 18:44:58",Sales Order #2019462451EX,,1,No,https://partner.brilliantearth.com/production/record-153613/
"Ready to Invoice,Shipped",411797,"Sep. 09, 2019",,,,,,,No,"Sep. 09, 2019","Aug. 28, 2019 20:32:53",Sales Order #2019469847,,,No,https://partner.brilliantearth.com/production/record-153739/
"Ready to Invoice,Shipped",411797,"Sep. 09, 2019",BE1D225LC : BE1D225LC-14KR-N-S7,"14K Rose Gold Selene Lab Diamond Ring, Size 7",Set with: - Stock # MO10X8OV1 - Description   10x8mm Super Premium Oval Moissanite  Arriving from SF on 9/3/2019  Stone Insurance Value 1880.00,"Aug. 30, 2019",,2672.00,No,"Sep. 09, 2019","Aug. 28, 2019 20:32:53",Sales Order #2019469847,,1,No,https://partner.brilliantearth.com/production/record-153739/
"Ready to Invoice,Shipped",411808,"Sep. 05, 2019",,,,,,,No,"Sep. 05, 2019","Aug. 28, 2019 22:33:37",Sales Order #2019469854,,,No,https://partner.brilliantearth.com/production/record-154883/
"Ready to Invoice,Shipped",411808,"Sep. 05, 2019",BE266E : BE266E-18KW-S5,"18K White Gold Eternity Whisper Diamond Ring, Size 5",,,,1000.00,No,"Sep. 05, 2019","Aug. 28, 2019 22:33:37",Sales Order #2019469854,,1,No,https://partner.brilliantearth.com/production/record-154883/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",411812,"Sep. 09, 2019",,,,,"Sep. 04, 2019",,Yes,"Sep. 09, 2019","Aug. 29, 2019 01:02:45",Sales Order #2019469704,,,No,https://partner.brilliantearth.com/production/record-153644/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",411812,"Sep. 09, 2019",BE1PD25R25LC : BE1PD25R25LC-18KY-N-S55,"18K Yellow Gold Petite Shared Prong Lab Diamond Ring (1/4 ct. tw.), Size 5.5","Set with: 2680478A	 Description: 1.50 Carat, Round, Very Good Cut, J Color, SI2 Clarity, 7.29 x 7.25 x 4.45mm, Conflict Free Lab Created Diamond	 Cert: 305809708  Arriving from SF on 9/5/2019  Stone insurance value: 1664.00","Sep. 03, 2019","Sep. 04, 2019",2456.00,Yes,"Sep. 09, 2019","Aug. 29, 2019 01:02:45",Sales Order #2019469704,,1,No,https://partner.brilliantearth.com/production/record-153644/
"Drop Ship Approval Needed,Lab Screen Passed,Ready to Invoice,Shipped",411834,"Sep. 12, 2019",,,,,"Sep. 04, 2019",,Yes,"Sep. 12, 2019","Aug. 29, 2019 07:30:44",Sales Order #2019469882,,,No,https://partner.brilliantearth.com/production/record-153697/
