Status,PO #,Ship Date,Item,Description,Notes,Date Sent from SF,Diamond ETA,Insurance Value,Drop Ship?,Actual Ship Date,Date Created,SO#,Tracking #,Quantity,Upload?,Portal URL
"Ready to Invoice,Shipped",376687,"Jul. 10, 2019",,,,,,,No,"Jul. 10, 2019","May. 16, 2019 15:09:23",,1Z0X577V1340939021,,No,https://partner.brilliantearth.com/production/record-138775/
"Ready to Invoice,Shipped",376687,"Jul. 10, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,"Jul. 10, 2019","May. 16, 2019 15:09:23",,1Z0X577V1340939021,1,No,https://partner.brilliantearth.com/production/record-138775/
"Ready to Invoice,Shipped",376687,"Jul. 10, 2019",Transfer,,Be sample to be sent for replication.,"May. 20, 2019",,792.00,No,"Jul. 10, 2019","May. 16, 2019 15:09:23",,1Z0X577V1340939021,1,No,https://partner.brilliantearth.com/production/record-138775/
"Ready to Invoice,Shipped",376687,"Jul. 10, 2019",BE1PD25R25 : BE1PD25R25-18KW-SBAU5.5RD3-S6,"18K White Gold Petite Shared Prong Diamond Ring (1/4 ct. tw.), Size 6",Initial sample for approval  Please set with 7.0mm RD CZ,,,792.00,No,"Jul. 10, 2019","May. 16, 2019 15:09:23",,1Z0X577V1340939021,1,No,https://partner.brilliantearth.com/production/record-138775/
"Ready to Invoice,Shipped",376687,"Jul. 10, 2019",Mold,,,,,,No,"Jul. 10, 2019","May. 16, 2019 15:09:23",,1Z0X577V1340939021,1,No,https://partner.brilliantearth.com/production/record-138775/
"Ready to Invoice,Shipped",376687,"Jul. 10, 2019",Transfer,,7.0mm RD CZ arriving from SF,"Jun. 05, 2019",,50.00,No,"Jul. 10, 2019","May. 16, 2019 15:09:23",,1Z0X577V1340939021,1,No,https://partner.brilliantearth.com/production/record-138775/
None,376727,"Jul. 11, 2019",,,,,,,No,,"May. 16, 2019 17:34:16",,,,No,https://partner.brilliantearth.com/production/record-138780/
None,376727,"Jul. 11, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,,"May. 16, 2019 17:34:16",,,1,No,https://partner.brilliantearth.com/production/record-138780/
None,376727,"Jul. 11, 2019",Transfer,,BE Sample being sent for replication,"May. 20, 2019",,1000.00,No,,"May. 16, 2019 17:34:16",,,1,No,https://partner.brilliantearth.com/production/record-138780/
None,376727,"Jul. 11, 2019",BE164 : BE164-18KW-N-S6,"18K White Gold Luxe Ballad Diamond Ring, Size 6",Initial sample for approval  Please set with 7.0mm RD CZ,,,1000.00,No,,"May. 16, 2019 17:34:16",,,1,No,https://partner.brilliantearth.com/production/record-138780/
None,376727,"Jul. 11, 2019",Mold,,,,,,No,,"May. 16, 2019 17:34:16",,,1,No,https://partner.brilliantearth.com/production/record-138780/
None,376727,"Jul. 11, 2019",Transfer,,7.0mm RD CZ arriving from SF,"Jun. 05, 2019",,50.00,No,,"May. 16, 2019 17:34:16",,,1,No,https://partner.brilliantearth.com/production/record-138780/
None,376728,"Jul. 11, 2019",,,,,,,No,,"May. 16, 2019 17:35:21",,,,No,https://partner.brilliantearth.com/production/record-138781/
None,376728,"Jul. 11, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,"May. 20, 2019",,.00,No,,"May. 16, 2019 17:35:21",,,1,No,https://partner.brilliantearth.com/production/record-138781/
None,376728,"Jul. 11, 2019",Transfer,,BE Sample being sent for replication,"May. 20, 2019",,792.00,No,,"May. 16, 2019 17:35:21",,,1,No,https://partner.brilliantearth.com/production/record-138781/
None,376728,"Jul. 11, 2019",BE264 : BE264-18KW-S6,"18K White Gold Luxe Ballad Diamond Ring (1/4 ct. wt.), Size 6",Initial sample for approval,,,792.00,No,,"May. 16, 2019 17:35:21",,,1,No,https://partner.brilliantearth.com/production/record-138781/
None,376728,"Jul. 11, 2019",Mold,,,,,,No,,"May. 16, 2019 17:35:21",,,1,No,https://partner.brilliantearth.com/production/record-138781/
"Ready to Invoice,Shipped",380077,"Jul. 24, 2019",,,,,,,No,"Jul. 23, 2019","May. 28, 2019 13:51:42",,,,No,https://partner.brilliantearth.com/production/record-138778/
"Ready to Invoice,Shipped",380077,"Jul. 24, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,"May. 29, 2019",,,No,"Jul. 23, 2019","May. 28, 2019 13:51:42",,,1,No,https://partner.brilliantearth.com/production/record-138778/
"Ready to Invoice,Shipped",380077,"Jul. 24, 2019",Transfer,,BE sample to be sent for replication.,"May. 29, 2019",,792.00,No,"Jul. 23, 2019","May. 28, 2019 13:51:42",,,1,No,https://partner.brilliantearth.com/production/record-138778/
"Ready to Invoice,Shipped",380077,"Jul. 24, 2019",BE2M254P : BE2M254P-18KW-S6,"18K White Gold Petite Twisted Vine Diamond Ring, Size 6",Initial sample for approval.,,,792.00,No,"Jul. 23, 2019","May. 28, 2019 13:51:42",,,1,No,https://partner.brilliantearth.com/production/record-138778/
"Ready to Invoice,Shipped",380077,"Jul. 24, 2019",Mold,,,,,,No,"Jul. 23, 2019","May. 28, 2019 13:51:42",,,1,No,https://partner.brilliantearth.com/production/record-138778/
"Ready to Invoice,Shipped",380140,"Jul. 10, 2019",,,,,,,No,"Jul. 10, 2019","May. 28, 2019 15:17:29",,1Z0X577V1340939021,,No,https://partner.brilliantearth.com/production/record-138776/
"Ready to Invoice,Shipped",380140,"Jul. 10, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,"May. 29, 2019",,,No,"Jul. 10, 2019","May. 28, 2019 15:17:29",,1Z0X577V1340939021,1,No,https://partner.brilliantearth.com/production/record-138776/
"Ready to Invoice,Shipped",380140,"Jul. 10, 2019",Transfer,,Be sample to be sent for replication.,"May. 29, 2019",,760.00,No,"Jul. 10, 2019","May. 28, 2019 15:17:29",,1Z0X577V1340939021,1,No,https://partner.brilliantearth.com/production/record-138776/
"Ready to Invoice,Shipped",380140,"Jul. 10, 2019",BE2PD25R25 : BE2PD25R25-18KW-S6,"18K White Gold Petite Shared Prong Diamond Ring (1/4 ct. tw.), Size 6",Initial sample for approval,,,760.00,No,"Jul. 10, 2019","May. 28, 2019 15:17:29",,1Z0X577V1340939021,1,No,https://partner.brilliantearth.com/production/record-138776/
"Ready to Invoice,Shipped",380140,"Jul. 10, 2019",Mold,,,,,,No,"Jul. 10, 2019","May. 28, 2019 15:17:29",,1Z0X577V1340939021,1,No,https://partner.brilliantearth.com/production/record-138776/
"Ready to Invoice,Shipped",380155,"Jun. 26, 2019",,,,,,,No,"Jun. 26, 2019","May. 28, 2019 15:49:55",,1Z0X577V0142225141,,No,https://partner.brilliantearth.com/production/record-138777/
"Ready to Invoice,Shipped",380155,"Jun. 26, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,"May. 29, 2019",,,No,"Jun. 26, 2019","May. 28, 2019 15:49:55",,1Z0X577V0142225141,1,No,https://partner.brilliantearth.com/production/record-138777/
"Ready to Invoice,Shipped",380155,"Jun. 26, 2019",Transfer,,Be sample to be sent for replication.,"May. 29, 2019",,792.00,No,"Jun. 26, 2019","May. 28, 2019 15:49:55",,1Z0X577V0142225141,1,No,https://partner.brilliantearth.com/production/record-138777/
"Ready to Invoice,Shipped",380155,"Jun. 26, 2019",BE2D1812 : BE2D1812-18KW-S6,"18K White Gold Flair Diamond Ring, Size 6",Initial sample for approval,,,792.00,No,"Jun. 26, 2019","May. 28, 2019 15:49:55",,1Z0X577V0142225141,1,No,https://partner.brilliantearth.com/production/record-138777/
"Ready to Invoice,Shipped",380155,"Jun. 26, 2019",Mold,,,,,,No,"Jun. 26, 2019","May. 28, 2019 15:49:55",,1Z0X577V0142225141,1,No,https://partner.brilliantearth.com/production/record-138777/
None,380182,"Jul. 02, 2019",,,,,,,No,,"May. 28, 2019 16:21:15",,,,No,https://partner.brilliantearth.com/production/record-138779/
None,380182,"Jul. 02, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,"May. 29, 2019",,,No,,"May. 28, 2019 16:21:15",,,1,No,https://partner.brilliantearth.com/production/record-138779/
None,380182,"Jul. 02, 2019",Transfer,,BE sample to be sent for replication.,"May. 29, 2019",,1000.00,No,,"May. 28, 2019 16:21:15",,,1,No,https://partner.brilliantearth.com/production/record-138779/
None,380182,"Jul. 02, 2019",BE266E : BE266E-18KW-S6,"18K White Gold Eternity Whisper Diamond Ring, Size 6",Initial sample for approval,,,1000.00,No,,"May. 28, 2019 16:21:15",,,1,No,https://partner.brilliantearth.com/production/record-138779/
None,380182,"Jul. 02, 2019",Mold,,,,,,No,,"May. 28, 2019 16:21:15",,,1,No,https://partner.brilliantearth.com/production/record-138779/
None,388632,"Nov. 08, 2019",,,,,,,No,,"Jun. 21, 2019 13:13:39",,,,No,https://partner.brilliantearth.com/production/record-159645/
None,388632,"Nov. 08, 2019",PD CAD/Wax Model,PD CAD/Wax Models,,,,.00,No,,"Jun. 21, 2019 13:13:39",,,1,No,https://partner.brilliantearth.com/production/record-159645/
None,388632,"Nov. 08, 2019",Transfer,,Be sample being sent for replication of bright cut french pave style,"Jul. 15, 2019",,1640.00,No,,"Jun. 21, 2019 13:13:39",,,1,No,https://partner.brilliantearth.com/production/record-159645/
"Ready to Invoice,Shipped",388686,"Jul. 26, 2019",,,,,,,No,"Jul. 26, 2019","Jun. 21, 2019 15:34:53",,775846715860,,No,https://partner.brilliantearth.com/production/record-142079/
"Ready to Invoice,Shipped",388686,"Jul. 26, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,"Jul. 26, 2019","Jun. 21, 2019 15:34:53",,775846715860,1,No,https://partner.brilliantearth.com/production/record-142079/
"Ready to Invoice,Shipped",388686,"Jul. 26, 2019",Transfer,,Initial sample to be created for approval  Center has claw prongs,"Jun. 24, 2019",,952.00,No,"Jul. 26, 2019","Jun. 21, 2019 15:34:53",,775846715860,1,No,https://partner.brilliantearth.com/production/record-142079/
"Ready to Invoice,Shipped",388686,"Jul. 26, 2019",BE1D54 : BE1D54-18KW-N-S6,"18K White Gold Petite Twisted Vine Diamond Ring, Size 6",Initial sample for approval  Please set with 7.0mm RD CZ,,,952.00,No,"Jul. 26, 2019","Jun. 21, 2019 15:34:53",,775846715860,1,No,https://partner.brilliantearth.com/production/record-142079/
"Ready to Invoice,Shipped",388686,"Jul. 26, 2019",Mold,,,,,,No,"Jul. 26, 2019","Jun. 21, 2019 15:34:53",,775846715860,1,No,https://partner.brilliantearth.com/production/record-142079/
"Ready to Invoice,Shipped",388686,"Jul. 26, 2019",Transfer,,7.0mm RD CZ arriving from SF,"Jul. 10, 2019",,50.00,No,"Jul. 26, 2019","Jun. 21, 2019 15:34:53",,775846715860,1,No,https://partner.brilliantearth.com/production/record-142079/
"Ready to Invoice,Shipped",389815,"Aug. 06, 2019",,,,,,,No,"Aug. 06, 2019","Jun. 25, 2019 16:45:26",,775916530340,,No,https://partner.brilliantearth.com/production/record-144660/
"Ready to Invoice,Shipped",389815,"Aug. 06, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,"Aug. 06, 2019","Jun. 25, 2019 16:45:26",,775916530340,1,No,https://partner.brilliantearth.com/production/record-144660/
"Ready to Invoice,Shipped",389815,"Aug. 06, 2019",Transfer,,BE Sample to be sent for replication,"Jun. 26, 2019",,1480.00,No,"Aug. 06, 2019","Jun. 25, 2019 16:45:26",,775916530340,1,No,https://partner.brilliantearth.com/production/record-144660/
"Ready to Invoice,Shipped",389815,"Aug. 06, 2019",BE1D64 : BE1D64-18KW-N-S6,"18K White Gold Waverly Diamond Ring, Size 6",Initial sample for approval  Please set with 7.0mm RD CZ,,,1480.00,No,"Aug. 06, 2019","Jun. 25, 2019 16:45:26",,775916530340,1,No,https://partner.brilliantearth.com/production/record-144660/
"Ready to Invoice,Shipped",389815,"Aug. 06, 2019",Mold,,,,,,No,"Aug. 06, 2019","Jun. 25, 2019 16:45:26",,775916530340,1,No,https://partner.brilliantearth.com/production/record-144660/
"Ready to Invoice,Shipped",389815,"Aug. 06, 2019",Transfer,,7.0mm RD CZ arriving from SF,"Jul. 22, 2019",,50.00,No,"Aug. 06, 2019","Jun. 25, 2019 16:45:26",,775916530340,1,No,https://partner.brilliantearth.com/production/record-144660/
None,389844,"Nov. 04, 2019",,,,,,,No,,"Jun. 25, 2019 17:56:42",,775997628736,,No,https://partner.brilliantearth.com/production/record-140546/
None,389844,"Nov. 04, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,,"Jun. 25, 2019 17:56:42",,775997628736,1,No,https://partner.brilliantearth.com/production/record-140546/
None,389844,"Nov. 04, 2019",Transfer,,Be sample to be sent for replication,"Jun. 26, 2019",,1352.00,No,,"Jun. 25, 2019 17:56:42",,775997628736,1,No,https://partner.brilliantearth.com/production/record-140546/
None,389844,"Nov. 04, 2019",BE1D129 : BE1D129-18KW-N-S6,Luxe Viviana Diamond Ring,Initial sample for approval  Please set with 7.0 mm RD CZ,,,1352.00,No,,"Jun. 25, 2019 17:56:42",,775997628736,1,No,https://partner.brilliantearth.com/production/record-140546/
None,389844,"Nov. 04, 2019",Mold,,,,,,No,,"Jun. 25, 2019 17:56:42",,775997628736,1,No,https://partner.brilliantearth.com/production/record-140546/
None,389844,"Nov. 04, 2019",Transfer,,7.0 mm RD CZ arriving from SF,"Jul. 05, 2019",,50.00,No,,"Jun. 25, 2019 17:56:42",,775997628736,1,No,https://partner.brilliantearth.com/production/record-140546/
"Ready to Invoice,Shipped",390479,"Aug. 14, 2019",,,,,,,No,"Aug. 14, 2019","Jun. 27, 2019 11:35:14",,775987355329,,No,https://partner.brilliantearth.com/production/record-141005/
"Ready to Invoice,Shipped",390479,"Aug. 14, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,"Aug. 14, 2019","Jun. 27, 2019 11:35:14",,775987355329,1,No,https://partner.brilliantearth.com/production/record-141005/
"Ready to Invoice,Shipped",390479,"Aug. 14, 2019",Transfer,,BE sample to be sent for replication,"Jun. 28, 2019",,1192.00,No,"Aug. 14, 2019","Jun. 27, 2019 11:35:14",,775987355329,1,No,https://partner.brilliantearth.com/production/record-141005/
"Ready to Invoice,Shipped",390479,"Aug. 14, 2019",BE1D4816 : BE1D4816-18KW-N-S6,"18K White Gold Cadenza Halo Diamond Ring, Size 6",Initial sample for approval,,,1192.00,No,"Aug. 14, 2019","Jun. 27, 2019 11:35:14",,775987355329,1,No,https://partner.brilliantearth.com/production/record-141005/
"Ready to Invoice,Shipped",390479,"Aug. 14, 2019",Mold,,,,,,No,"Aug. 14, 2019","Jun. 27, 2019 11:35:14",,775987355329,1,No,https://partner.brilliantearth.com/production/record-141005/
"Ready to Invoice,Shipped",390479,"Aug. 14, 2019",Transfer,,7.0mm RD CZ arriving from SF,"Jul. 08, 2019",,50.00,No,"Aug. 14, 2019","Jun. 27, 2019 11:35:14",,775987355329,1,No,https://partner.brilliantearth.com/production/record-141005/
None,390500,"Nov. 08, 2019",,,,,,,No,,"Jun. 27, 2019 12:33:37",,1Z0X577V40020012,,No,https://partner.brilliantearth.com/production/record-140547/
None,390500,"Nov. 08, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,,"Jun. 27, 2019 12:33:37",,1Z0X577V40020012,1,No,https://partner.brilliantearth.com/production/record-140547/
None,390500,"Nov. 08, 2019",Transfer,,BE sample to be sent for replication,"Jun. 28, 2019",,792.00,No,,"Jun. 27, 2019 12:33:37",,1Z0X577V40020012,1,No,https://partner.brilliantearth.com/production/record-140547/
None,390500,"Nov. 08, 2019",BE2D4816 : BE2D4816-18KW-S6,"18K White Gold Cadenza Diamond Ring (1/10 ct. tw.), Size 6",Initial sample for approval,,,792.00,No,,"Jun. 27, 2019 12:33:37",,1Z0X577V40020012,1,No,https://partner.brilliantearth.com/production/record-140547/
None,390500,"Nov. 08, 2019",Mold,,,,,,No,,"Jun. 27, 2019 12:33:37",,1Z0X577V40020012,1,No,https://partner.brilliantearth.com/production/record-140547/
"Ready to Invoice,Shipped",390588,"Jul. 23, 2019",,,,,,,No,"Jul. 23, 2019","Jun. 27, 2019 16:03:47",,1Z0X577V40020012,,No,https://partner.brilliantearth.com/production/record-142656/
"Ready to Invoice,Shipped",390588,"Jul. 23, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,"Jul. 23, 2019","Jun. 27, 2019 16:03:47",,1Z0X577V40020012,1,No,https://partner.brilliantearth.com/production/record-142656/
"Ready to Invoice,Shipped",390588,"Jul. 23, 2019",Transfer,,BE Sample being sent for replication,"Jun. 28, 2019",,792.00,No,"Jul. 23, 2019","Jun. 27, 2019 16:03:47",,1Z0X577V40020012,1,No,https://partner.brilliantearth.com/production/record-142656/
"Ready to Invoice,Shipped",390588,"Jul. 23, 2019",BE288 : BE288-18KW-S6,"18K White Gold Circa Contoured Diamond Ring, Size 6",Initial sample for approval,,,792.00,No,"Jul. 23, 2019","Jun. 27, 2019 16:03:47",,1Z0X577V40020012,1,No,https://partner.brilliantearth.com/production/record-142656/
"Ready to Invoice,Shipped",390588,"Jul. 23, 2019",Mold,,,,,,No,"Jul. 23, 2019","Jun. 27, 2019 16:03:47",,1Z0X577V40020012,1,No,https://partner.brilliantearth.com/production/record-142656/
"Ready to Invoice,Shipped",390592,"Aug. 14, 2019",,,,,,,No,"Aug. 14, 2019","Jun. 27, 2019 16:12:28",,775987355329,,No,https://partner.brilliantearth.com/production/record-142653/
"Ready to Invoice,Shipped",390592,"Aug. 14, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,"Aug. 14, 2019","Jun. 27, 2019 16:12:28",,775987355329,1,No,https://partner.brilliantearth.com/production/record-142653/
"Ready to Invoice,Shipped",390592,"Aug. 14, 2019",Transfer,,BE Sample being sent for replication,"Jun. 28, 2019",,1592.00,No,"Aug. 14, 2019","Jun. 27, 2019 16:12:28",,775987355329,1,No,https://partner.brilliantearth.com/production/record-142653/
"Ready to Invoice,Shipped",390592,"Aug. 14, 2019",BE188D : BE188D-18KW-N-S6,"18K White Gold Circa Diamond Ring (1/2 ct. tw.), Size 6",Initial sample for approval  Please set with 7.0mm RD CZ,,,1592.00,No,"Aug. 14, 2019","Jun. 27, 2019 16:12:28",,775987355329,1,No,https://partner.brilliantearth.com/production/record-142653/
"Ready to Invoice,Shipped",390592,"Aug. 14, 2019",Mold,,,,,,No,"Aug. 14, 2019","Jun. 27, 2019 16:12:28",,775987355329,1,No,https://partner.brilliantearth.com/production/record-142653/
"Ready to Invoice,Shipped",390592,"Aug. 14, 2019",Transfer,,7.0mm RD CZ arriving from SF,"Jul. 15, 2019",,50.00,No,"Aug. 14, 2019","Jun. 27, 2019 16:12:28",,775987355329,1,No,https://partner.brilliantearth.com/production/record-142653/
None,390615,"Nov. 08, 2019",,,,,,,No,,"Jun. 27, 2019 17:32:12",,775997628736,,No,https://partner.brilliantearth.com/production/record-140548/
None,390615,"Nov. 08, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,,"Jun. 27, 2019 17:32:12",,775997628736,1,No,https://partner.brilliantearth.com/production/record-140548/
None,390615,"Nov. 08, 2019",Transfer,,BE Sample being sent for replication,"Jun. 28, 2019",,1272.00,No,,"Jun. 27, 2019 17:32:12",,775997628736,1,No,https://partner.brilliantearth.com/production/record-140548/
None,390615,"Nov. 08, 2019",BE1D3242 : BE1D3242-18KW-N-S6,"18K White Gold Reina Diamond Ring, Size 6",Initial sample for approval  Please set with 7.0mm RD CZ,,,1272.00,No,,"Jun. 27, 2019 17:32:12",,775997628736,1,No,https://partner.brilliantearth.com/production/record-140548/
None,390615,"Nov. 08, 2019",Mold,,,,,,No,,"Jun. 27, 2019 17:32:12",,775997628736,1,No,https://partner.brilliantearth.com/production/record-140548/
None,390615,"Nov. 08, 2019",Transfer,,7.0mm RD CZ arriving from SF,"Jul. 05, 2019",,50.00,No,,"Jun. 27, 2019 17:32:12",,775997628736,1,No,https://partner.brilliantearth.com/production/record-140548/
None,390900,"Nov. 04, 2019",,,,,,,No,,"Jun. 28, 2019 17:09:09",,775916530340,,No,https://partner.brilliantearth.com/production/record-144859/
None,390900,"Nov. 04, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,"Jul. 08, 2019",,,No,,"Jun. 28, 2019 17:09:09",,775916530340,1,No,https://partner.brilliantearth.com/production/record-144859/
None,390900,"Nov. 04, 2019",Transfer,,BE Sample to be sent for replication,"Jul. 08, 2019",,1992.00,No,,"Jun. 28, 2019 17:09:09",,775916530340,1,No,https://partner.brilliantearth.com/production/record-144859/
None,390900,"Nov. 04, 2019",BE1M0177 : BE1M0177-18KW-N-S6,"18K White Gold Fortuna Diamond Ring, Size 6",Initial sample for approval	   Please set with 7.0mm RD CZ,,,1992.00,No,,"Jun. 28, 2019 17:09:09",,775916530340,1,No,https://partner.brilliantearth.com/production/record-144859/
None,390900,"Nov. 04, 2019",Mold,,,,,,No,,"Jun. 28, 2019 17:09:09",,775916530340,1,No,https://partner.brilliantearth.com/production/record-144859/
None,390900,"Nov. 04, 2019",Transfer,,7.0mm RD CZ arriving from SF,"Jul. 23, 2019",,50.00,No,,"Jun. 28, 2019 17:09:09",,775916530340,1,No,https://partner.brilliantearth.com/production/record-144859/
None,390902,"Nov. 08, 2019",,,,,,,No,,"Jun. 28, 2019 17:20:42",,775898245503,,No,https://partner.brilliantearth.com/production/record-144858/
None,390902,"Nov. 08, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,,"Jun. 28, 2019 17:20:42",,775898245503,1,No,https://partner.brilliantearth.com/production/record-144858/
None,390902,"Nov. 08, 2019",Transfer,,BE Sample to be sent for replication,"Jul. 08, 2019",,1112.00,No,,"Jun. 28, 2019 17:20:42",,775898245503,1,No,https://partner.brilliantearth.com/production/record-144858/
None,390902,"Nov. 08, 2019",BE2D0177 : BE2D0177-18KW-S6,"18K White Gold Fortuna Contoured Diamond Ring, Size 6",Initial sample for approval,,,1112.00,No,,"Jun. 28, 2019 17:20:42",,775898245503,1,No,https://partner.brilliantearth.com/production/record-144858/
None,390902,"Nov. 08, 2019",Mold,,,,,,No,,"Jun. 28, 2019 17:20:42",,775898245503,1,No,https://partner.brilliantearth.com/production/record-144858/
None,391709,"Nov. 08, 2019",,,,,,,No,,"Jul. 01, 2019 17:41:31",,1Z0X577V1341878283,,No,https://partner.brilliantearth.com/production/record-142454/
None,391709,"Nov. 08, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,,"Jul. 01, 2019 17:41:31",,1Z0X577V1341878283,1,No,https://partner.brilliantearth.com/production/record-142454/
None,391709,"Nov. 08, 2019",Transfer,,Be sample to be sent for replication.,"Jul. 05, 2019",,1592.00,No,,"Jul. 01, 2019 17:41:31",,1Z0X577V1341878283,1,No,https://partner.brilliantearth.com/production/record-142454/
None,391709,"Nov. 08, 2019",BE1D940 : BE1D940-18KW-N-S6,"18K White Gold Valencia Diamond Ring, Size 6",Initial sample for approval,,,1592.00,No,,"Jul. 01, 2019 17:41:31",,1Z0X577V1341878283,1,No,https://partner.brilliantearth.com/production/record-142454/
None,391709,"Nov. 08, 2019",Mold,,,,,,No,,"Jul. 01, 2019 17:41:31",,1Z0X577V1341878283,1,No,https://partner.brilliantearth.com/production/record-142454/
None,391709,"Nov. 08, 2019",Transfer,,7.0mm RD CZ arriving from SF,"Jul. 12, 2019",,50.00,No,,"Jul. 01, 2019 17:41:31",,1Z0X577V1341878283,1,No,https://partner.brilliantearth.com/production/record-142454/
None,391711,"Nov. 04, 2019",,,,,,,No,,"Jul. 01, 2019 18:01:14",,1Z0X577V40020012,,No,https://partner.brilliantearth.com/production/record-142451/
None,391711,"Nov. 04, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,,"Jul. 01, 2019 18:01:14",,1Z0X577V40020012,1,No,https://partner.brilliantearth.com/production/record-142451/
None,391711,"Nov. 04, 2019",Transfer,,Be sample to be sent for replication.,"Jul. 08, 2019",,1192.00,No,,"Jul. 01, 2019 18:01:14",,1Z0X577V40020012,1,No,https://partner.brilliantearth.com/production/record-142451/
None,391711,"Nov. 04, 2019",BE2D940 : BE2D940-18KW-S6,"18K White Gold Valencia Diamond Ring (1/3 ct. tw.), Size 6",Initial sample for approval,,,1192.00,No,,"Jul. 01, 2019 18:01:14",,1Z0X577V40020012,1,No,https://partner.brilliantearth.com/production/record-142451/
None,391711,"Nov. 04, 2019",Mold,,,,,,No,,"Jul. 01, 2019 18:01:14",,1Z0X577V40020012,1,No,https://partner.brilliantearth.com/production/record-142451/
"Ready to Invoice,Shipped",391999,"Aug. 06, 2019",,,,,,,No,"Aug. 06, 2019","Jul. 02, 2019 12:46:53",,775916530340,,No,https://partner.brilliantearth.com/production/record-143492/
"Ready to Invoice,Shipped",391999,"Aug. 06, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,"Aug. 06, 2019","Jul. 02, 2019 12:46:53",,775916530340,1,No,https://partner.brilliantearth.com/production/record-143492/
"Ready to Invoice,Shipped",391999,"Aug. 06, 2019",Transfer,,BE sample to be sent for replication,"Jul. 05, 2019",,920.00,No,"Aug. 06, 2019","Jul. 02, 2019 12:46:53",,775916530340,1,No,https://partner.brilliantearth.com/production/record-143492/
"Ready to Invoice,Shipped",391999,"Aug. 06, 2019",BE104 : BE104-18KW-N-S6,"18K White Gold Willow Diamond Ring, Size 6",Initial sample for approval  Please set with 7.0mm RD CZ,,,920.00,No,"Aug. 06, 2019","Jul. 02, 2019 12:46:53",,775916530340,1,No,https://partner.brilliantearth.com/production/record-143492/
"Ready to Invoice,Shipped",391999,"Aug. 06, 2019",Mold,,,,,,No,"Aug. 06, 2019","Jul. 02, 2019 12:46:53",,775916530340,1,No,https://partner.brilliantearth.com/production/record-143492/
"Ready to Invoice,Shipped",391999,"Aug. 06, 2019",Transfer,,7.0mm RD CZ arriving from SF,"Jul. 17, 2019",,50.00,No,"Aug. 06, 2019","Jul. 02, 2019 12:46:53",,775916530340,1,No,https://partner.brilliantearth.com/production/record-143492/
"Ready to Invoice,Shipped",392015,"Aug. 06, 2019",,,,,,,No,"Aug. 05, 2019","Jul. 02, 2019 13:07:41",,,,No,https://partner.brilliantearth.com/production/record-143493/
"Ready to Invoice,Shipped",392015,"Aug. 06, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,"Aug. 05, 2019","Jul. 02, 2019 13:07:41",,,1,No,https://partner.brilliantearth.com/production/record-143493/
"Ready to Invoice,Shipped",392015,"Aug. 06, 2019",Transfer,,BE sample to be sent for replication,"Jul. 05, 2019",,792.00,No,"Aug. 05, 2019","Jul. 02, 2019 13:07:41",,,1,No,https://partner.brilliantearth.com/production/record-143493/
"Ready to Invoice,Shipped",392015,"Aug. 06, 2019",BE204A : BE204A-18KW-S6,"18K White Gold Willow Contoured Diamond Ring, Size 6",Initial sample for approval,,,792.00,No,"Aug. 05, 2019","Jul. 02, 2019 13:07:41",,,1,No,https://partner.brilliantearth.com/production/record-143493/
"Ready to Invoice,Shipped",392015,"Aug. 06, 2019",Mold,,,,,,No,"Aug. 05, 2019","Jul. 02, 2019 13:07:41",,,1,No,https://partner.brilliantearth.com/production/record-143493/
"Ready to Invoice,Shipped",392112,"Sep. 24, 2019",,,,,,,No,"Sep. 19, 2019","Jul. 02, 2019 17:09:27",,775916530340,,No,https://partner.brilliantearth.com/production/record-146310/
"Ready to Invoice,Shipped",392112,"Sep. 24, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,"Sep. 19, 2019","Jul. 02, 2019 17:09:27",,775916530340,1,No,https://partner.brilliantearth.com/production/record-146310/
